"APPLIC";"NM_SERVIZIO_WEB";"DS_SERVIZIO_WEB"

"SACER";"AggiornamentoUnitaDocumentariaSync";"Aggiornamento metadati unita' documentaria"
"SACER";"AggiuntaAllegatiSync";"Versamento per aggiunta documento sincrono"
"SACER";"AppInfo";"Informazioni dell'applicazione"
"SACER";"InvioRichiestaAnnullamentoVersamenti";"Richiedi annullamento versamenti unita' documentaria"
"SACER";"RecAIPFascicoloSync";"Recupera AIP del fascicolo"
"SACER";"RecAIPUnitaDocumentariaSync";"Recupera AIP unita' documentaria"
"SACER";"RecDIPComponenteTrasformatoSync";"Recupera il DIP del componente convertito in PDF"
"SACER";"RecDIPEsibizioneSync";"Recupero DIP per esibizione"
"SACER";"RecDIPRapportiVersSync";"Recupera rapporti di versamento"
"SACER";"RecPCUniDocMultiMedia";"Recupera prove di conservazione asincrono"
"SACER";"RecProveConservSync";"Recupera prove di conservazione"
"SACER";"RecStatoConservazioneSync";"Recupera stato conservazione"
"SACER";"RecUniDocMultiMedia";"Recupera unita' documentaria asincrono"
"SACER";"RecUnitaDocumentariaSync";"Recupera unita' documentaria sincrono"
"SACER";"ReplicaUtente";"Replica utente"
"SACER";"RicercaUnitaDocumentarieMach";"Ricerca unità documentarie microservizio"
"SACER";"SintesiClassiErroreVersamentiFallitiMach";"Sintesi classi errore versamenti falliti microservizio"
"SACER";"StatusMonitor";"Status dell'applicazione ai fini di monitoraggio esterno"
"SACER";"VerificaFirmeSync";"Verifica firme sincrona"
"SACER";"VersamentoFascicoloMach";"Versamento fascicolo microservizio"
"SACER";"VersamentoFascicoloSync";"Versamento fascicolo sincrono"
"SACER";"VersamentoMultiMedia";"Versamento unita' documentaria asincrono"
"SACER";"VersamentoSync";"Versamento unita' documentaria sincrono"
